Tipo de educaciOn,Turno,¿Comparte?,CategorIa,Primer nivel de educaciOn que ofrece,Ultimo nivel de educaciOn que ofrece,Tiene comedor,Tiene copa de leche,Tiene equipo multidisciplinario,Con clases especiales,Horario,Tiene maestro de apoyo,Tiene maestro de apoyo Ceibal,Tiene maestro comunitario,Maestro mAs maestro,Maestro de trayectorias protegidas,Profesores especiales,Ruee Calculado,Rule Calculado
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,SI,1,0,1,1101058,2010047
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,2,SI,0,0,3,1101059,2010048
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),SI,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,1,NO,0,0,9,1101060,2010049
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,TIEMPO EXTENDIDO,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,2,NO,0,0,9,1101061,2010050
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,1,NO,0,0,1,1101062,2010051
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,2,SI,1,0,4,1101063,2010052
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,0,SI,0,0,3,1101064,2010053
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,1° AÑO ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,7,1101065,2010054
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,1° AÑO ,6° AÑO ,NO,SI,NO,NO,,0,2,NO,2,0,1,1101066,2010055
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,1,NO,0,0,2,1101068,2010056
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,2,NO,0,0,5,1101070,2010057
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,5 AÑOS,6° AÑO ,NO,SI,NO,NO,,0,0,NO,0,0,5,1101072,2010058
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,HABILITADA DE PRACTICA,4 AÑOS,6° AÑO ,NO,SI,NO,SI,,1,3,NO,0,0,3,1101076,2010016
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,NO,SI,NO,NO,,0,0,NO,0,0,3,1101079,2010059
ESCUELA COMUN,MATUTINO (4 HORAS),SI,DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,1,1,NO,0,0,1,1101080,2010022
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,1° AÑO ,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,1,1101081,2010060
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,DE PRACTICA,3 AÑOS ,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,3,1101083,2010025
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,1,1101084,2010026
ESCUELA COMUN,MATUTINO (4 HORAS),SI,HABILITADA DE PRACTICA,3 AÑOS ,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,3,1101088,2010061
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),SI,APRENDER,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,1,0,SI,1,0,2,1101089,2010062
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,T.EXTENDIDO H. DE PRACTICA,1° AÑO ,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,9,1101090,2010063
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,1,NO,0,0,3,1101092,2010064
ESCUELA COMUN,MATUTINO (4 HORAS),SI,HABILITADA DE PRACTICA,3 AÑOS ,6° AÑO ,SI,SI,NO,SI,,1,1,NO,0,0,3,1101093,2010065
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,0,0,NO,0,0,4,1101094,2010066
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,0,SI,0,0,1,1101095,2010067
ESCUELA COMUN,MATUTINO (4 HORAS),SI,COMUN,1° AÑO ,6° AÑO ,SI,SI,NO,NO,,0,1,NO,0,0,1,1101096,2010068
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,TIEMPO EXTENDIDO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,1,0,NO,4,0,11,1101097,2010069
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,1° AÑO ,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,3,1101098,2010040
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,0,SI,0,0,2,1101099,2010070
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,TIEMPO EXTENDIDO,5 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,5,1101100,2010071
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,1,1101101,2010072
ESCUELA COMUN,MATUTINO (4 HORAS),SI,COMUN,1° AÑO ,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,2,1101102,2010073
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,1,0,4,1101103,2010046
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,3 AÑOS ,6° AÑO ,SI,SI,NO,SI,,0,0,SI,1,0,0,1101104,2010008
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,3,1101105,2010074
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,3,1101107,2010061
ESCUELA COMUN,MATUTINO (4 HORAS),SI,DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,1,NO,0,0,6,1101109,2010075
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,SI,0,0,3,1101110,2010070
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,0,SI,0,0,3,1101112,2010047
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,3 AÑOS ,6° AÑO ,SI,SI,NO,SI,,1,0,NO,0,0,3,1101113,2010077
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,1° AÑO ,6° AÑO ,SI,NO,NO,SI,,1,1,NO,0,0,1,1101115,2010068
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,1° AÑO ,6° AÑO ,NO,SI,NO,NO,,0,0,NO,1,0,1,1101116,2010078
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,3 AÑOS ,6° AÑO ,SI,NO,NO,SI,,2,0,SI,0,0,6,1101117,2010079
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,NO,SI,NO,NO,,0,0,NO,0,0,0,1101118,2010062
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,0,SI,0,0,2,1101119,2010048
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,TIEMPO EXTENDIDO,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,11,1101120,2010080
ESCUELA COMUN,MATUTINO (4 HORAS),SI,DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,1,1101121,2010002
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,1° AÑO ,6° AÑO ,SI,NO,NO,SI,,1,1,NO,0,0,4,1101122,2010081
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,1,0,SI,1,1,2,1101123,2010044
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,4,1101124,2010082
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,3 AÑOS ,6° AÑO ,SI,SI,NO,SI,,1,0,SI,0,0,2,1101125,2010083
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,1° AÑO ,6° AÑO ,SI,SI,NO,NO,,0,2,SI,0,0,4,1101126,2010084
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,1,NO,1,0,1,1101127,2010085
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,2,1,SI,1,0,3,1101128,2010086
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,0,SI,1,0,2,1101129,2010087
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,TIEMPO EXTENDIDO,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,8,1101130,2010088
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),SI,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,0,NO,0,0,7,1101131,2010013
ESCUELA COMUN,MATUTINO (4 HORAS),SI,COMUN,5 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,1,1101136,2010072
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,1,0,3,1101137,2010065
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,1° AÑO ,6° AÑO ,SI,SI,NO,SI,,1,2,SI,0,0,3,1101138,2010089
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,5,1101139,2010090
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,1° AÑO ,6° AÑO ,SI,SI,NO,NO,,0,2,SI,1,0,3,1101140,2010091
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,1,0,SI,0,0,2,1101141,2010092
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,4,1101142,2010093
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,1° AÑO ,6° AÑO ,SI,SI,NO,SI,,1,1,SI,0,0,2,1101143,2010094
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,1,SI,1,0,2,1101144,2010095
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,2,SI,1,0,1,1101145,2010096
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,0,SI,0,0,3,1101146,2010097
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,1,SI,0,0,2,1101148,2010098
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,SI,0,0,2,1101149,2010099
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,1,0,SI,1,0,6,1101150,2010100
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,3,1101151,2010101
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,SI,0,0,2,1101152,2010102
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,4,1101153,2010103
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,2,0,3,1101154,2010104
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,3 AÑOS ,6° AÑO ,SI,NO,NO,NO,,0,2,NO,1,0,1,1101155,2010105
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,NO,SI,,1,1,NO,0,0,3,1101156,2010075
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,1° AÑO ,6° AÑO ,SI,SI,NO,SI,,2,0,SI,0,0,11,1101157,2010106
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,1,NO,0,0,2,1101158,2010107
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,NO,SI,NO,NO,,0,1,SI,0,0,1,1101159,2010108
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),SI,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,0,NO,0,0,3,1101160,2010109
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,SI,NO,,0,1,NO,0,0,4,1101161,2010110
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,1° AÑO ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,4,1101163,2010111
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,3 AÑOS ,6° AÑO ,SI,NO,NO,SI,,0,0,SI,1,0,1,1101165,2010079
