DescripciOn ,DescripciOn,Plan,COd.,DescripciOn,Tray.,Año,MOd.,Sem.,Grupo,Turno,Sectores de Estudio,Modalidad,TelEfono,Mail,DescTCurso,DescOrient,Ruee,Rule
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO,,3,0,0,3C,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/001/ciclobasico.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/001/00107125.htm,1302021,4020092
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO,,3,0,0,3D,VESPERTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/001/ciclobasico.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/001/00107125.htm,1302021,4020092
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,119,BELLEZA - CAPILAR,I,0,1,1,FB1,VESPERTINO,,E.C.I. MIDES,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/FPBASE.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055capilar.htm,1302021,4020092
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,153,CARPINTERIA,II,0,1,1,FL1,VESPERTINO,,REDESCUBRIR,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/FPBASE.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055carpinter%C3%ADa.htm,1302021,4020092
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,153,CARPINTERIA,I,0,3,1,FL3,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/FPBASE.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055carpinter%C3%ADa.htm,1302021,4020092
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,25A,DEPORTE Y RECREACION,II,0,3,1,FZ3,VESPERTINO,,REDESCUBRIR,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/FPBASE.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055deporte%20y%20recreacion.htm,1302021,4020092
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,297,ELECTRICIDAD,I,0,1,1,FO1,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/FPBASE.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055electricidad.htm,1302021,4020092
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,443,MECANICA GENERAL,I,0,5,1,FD5,VESPERTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/FPBASE.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055MECGRAL.htm,1302021,4020092
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,81A,ROBOTICA,II,0,1,1,FM1,VESPERTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/FPBASE.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/ROB%C3%93TICA.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,7,ADMINISTRACION,,1,0,0,SA,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/administraci%C3%B3n.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,7,ADMINISTRACION,,1,0,0,SB,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/administraci%C3%B3n.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,7,ADMINISTRACION,,1,0,0,SC,VESPERTINO,,EXP. COMUNITARIAS,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/administraci%C3%B3n.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,7,ADMINISTRACION,,2,0,0,SA,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/administraci%C3%B3n.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,7,ADMINISTRACION,,2,0,0,SB,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/administraci%C3%B3n.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,107,ASISTENTE DE DIRECCION,,2,0,0,SA2,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/04804107Asistente%20de%20direccion.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,107,ASISTENTE DE DIRECCION,,2,0,0,SB2,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/04804107Asistente%20de%20direccion.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,141,CAPILAR,,1,0,0,SD,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/04804141Capilar.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,141,CAPILAR,,2,0,0,SD,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/04804141Capilar.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,218,CONST. VIVENDAS Y ABERTURAS,,2,0,0,SP,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/04804218const%20viv%20y%20abert.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,344,ELECTROTECNIA,,1,0,0,SE,VESPERTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,0,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,401,GASTRONOMIA COCINA,,2,0,0,SO,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,0,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,492,INSTALACIONES ELECTRICAS,,2,0,0,SE,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/04804492Inst%20Electricas.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,567,MASAJE,,1,0,0,SH,VESPERTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/04804567Masaje.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,567,MASAJE,,2,0,0,SH,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/04804567Masaje.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,572,MECANICA GENERAL,,1,0,0,SF,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055MECGRAL.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,576,MECANICA AUTOMOTRIZ,,1,0,0,SK,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/04804576Mec%20Automotriz.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,576,MECANICA AUTOMOTRIZ,,2,0,0,SK,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/04804576Mec%20Automotriz.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,618,MECANICA EN PRODUCCION,,2,0,0,SF,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/04804618mec%20en%20prod.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,798,REPARACION DE P. C.,,2,0,0,SJ,VESPERTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/EMP.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/04804REPARACION%20DE%20PC.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,8,ADMINISTRACION,,3,0,0,BA,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/administraci%C3%B3n.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,8,ADMINISTRACION,,3,0,0,BB,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/administraci%C3%B3n.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,00R,ADMINISTRACION (R),,1,0,0,BA,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,0,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,00R,ADMINISTRACION (R),,1,0,0,BB,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,0,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,00R,ADMINISTRACION (R),,2,0,0,BA,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,0,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,00R,ADMINISTRACION (R),,2,0,0,BB,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,0,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION,,1,0,0,BD,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055deporte%20y%20recreacion.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION,,1,0,0,BE,VESPERTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055deporte%20y%20recreacion.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION,,2,0,0,BD,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055deporte%20y%20recreacion.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION,,2,0,0,BE,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055deporte%20y%20recreacion.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION,,2,0,0,BG,VESPERTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055deporte%20y%20recreacion.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION,,3,0,0,BD,MATUTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055deporte%20y%20recreacion.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,25A,DEPORTE Y RECREACION,,3,0,0,BE,VESPERTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/055/055deporte%20y%20recreacion.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,336,ELECTROMECANICA,,2,0,0,BF,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/04904336.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,48I,INFORMATICA,,1,0,0,BM,VESPERTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/049/EMT%20Informatica%20reformulacion.htm,1302021,4020092
EDUCACION SUPERIOR TERCIARIA,CURSO TECNICO TERCIARIO,2015,8,ADMINISTRACION,,0,1,1,TA1,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/050/a/CTNTa.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/administraci%C3%B3n.htm,1302021,4020092
EDUCACION SUPERIOR TERCIARIA,CURSO TECNICO TERCIARIO,2015,56E,GESTION HUMANA,,0,3,1,TB3,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/050/a/CTNTa.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/050/a/050%20Gesti%C3%B3n%20Humana.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,BACHILLERATO PROFESIONAL,2008,06C,REACONDICIONAMIENTO FISICO DEP.,,3,0,0,BP4,VESPERTINO-NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/052/Bachillerato%20Profesional.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/052/REACONDICIONAMIENTO%20F%C3%8DSICO.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,BACHILLERATO PROFESIONAL,2008,14D,BELLEZA INTEGRAL ENFASIS CAPILAR,,3,0,0,BP2,VESPERTINO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/052/Bachillerato%20Profesional.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/052/BELLEZA%20INTEGRAL%20ENFASIS%20CAPILAR.htm,1302021,4020092
EDUCACION MEDIA SUPERIOR,BACHILLERATO PROFESIONAL,2008,492,INSTALACIONES ELECTRICAS,,3,0,0,BP1,NOCTURNO,,Escuela,47723687/47725988,tecnicaartigas@gmail.com,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/052/Bachillerato%20Profesional.htm,https://cursos.utu.edu.uy/sites/cursos.utu.edu.uy/oferta-educativa/2005/2004/TICUR/048/04804492Inst%20Electricas.htm,1302021,4020092
