MODALIDAD,TITULACION,TIPO_FORMACION,CARRERA_ESPECIALIDAD,TURNO,PLAN,DescTForm,Desc Carre,Mail,Enlace,RUEE,Nro_Establecimiento
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,DERECHO,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,DERECHO,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,DERECHO,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,DERECHO,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,DERECHO,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,EDUCACIÓN MUSICAL,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,EDUCACIÓN MUSICAL,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,EDUCACIÓN MUSICAL,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,EDUCACIÓN MUSICAL,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,EDUCACIÓN MUSICAL,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,EDUCACIÓN MUSICAL,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,ESPAÑOL,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,ESPAÑOL,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,ESPAÑOL,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,ESPAÑOL,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,ESPAÑOL,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,ESPAÑOL,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,FILOSOFÍA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,FILOSOFÍA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,FILOSOFÍA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,FILOSOFÍA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,FILOSOFÍA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,FILOSOFÍA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,FRANCÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,FRANCÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,FRANCÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,FRANCÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,FRANCÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,FRANCÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,FÍSICA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,FÍSICA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,FÍSICA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,FÍSICA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,FÍSICA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,FÍSICA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,HISTORIA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,HISTORIA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,HISTORIA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,HISTORIA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,HISTORIA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,HISTORIA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,INGLÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,INGLÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,INGLÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,INGLÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,INGLÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,INGLÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,ITALIANO,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,ITALIANO,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,ITALIANO,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,ITALIANO,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,ITALIANO,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,ITALIANO,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,MATEMÁTICA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,MATEMÁTICA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,MATEMÁTICA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,MATEMÁTICA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,MATEMÁTICA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,MATEMÁTICA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,PORTUGUÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,PORTUGUÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,PORTUGUÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,PORTUGUÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,PORTUGUÉS,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,PORTUGUÉS,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,QUÍMICA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,QUÍMICA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,QUÍMICA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,QUÍMICA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,QUÍMICA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL,,02 - PROFESORADO,QUÍMICA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,SOCIOLOGÍA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,SOCIOLOGÍA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,SOCIOLOGÍA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,SOCIOLOGÍA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,SOCIOLOGÍA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,SOCIOLOGÍA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,ASTRONOMÍA,INTERMEDIO/VESPERTINO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,CIENCIAS BIOLÓGICAS,INTERMEDIO/VESPERTINO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,CIENCIAS GEOGRÁFICAS,INTERMEDIO/VESPERTINO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,COMUNICACIÓN VISUAL,INTERMEDIO/VESPERTINO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,EDUCACIÓN MUSICAL,INTERMEDIO/VESPERTINO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403575
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,FILOSOFÍA,INTERMEDIO/VESPERTINO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403575
